大渡口区文体支路占道停车严重，影响市民通行,【网上12345】关于大渡口区教委门口旁边乱停车影响救护车和消防车通过，这个问题已经给大渡口交警队打电话报警几次了，一直没有解决实际问题，就是过来贴一个单子就走了。如果发生火灾到时候那个责任，消防车和救护车不能够通过，还有就是大渡口顺祥壹街区A区整个一圈乱停车占用班马线人只能够走旁边如果出事故责任那个负责，旁边都是车库，为啥子不停车库。希望交警队惩罚力度大一点，不要打电话过来开一个发的发单，就走了，这样处理结果有啥子意思。,2022-09-02 17:49:04,大渡口区公安分局交巡警支队已依法对乱停乱放车辆进行拖移，同时加大对文体支路违法停车的巡查和整治力度。
璧山区一村民住房的房檐上有马蜂窝，存在安全隐患,【网上12345】2022年8月9日，白鹤村2组邓世全到村办公室反应，自己家屋檐下有马蜂窝，请求村委会找人帮忙处理掉,2022-08-24 08:56:35,广普镇政府已安排工作人员帮助村民摘除马蜂窝，消除安全隐患。
荣昌区体育文化公园塑胶地面磨损严重，影响市民锻炼,【网上12345】荣昌区迎宾社区体育公园于2022年4月30日开放至今不到三个月就损坏。请有关部门责令建设单位维修,2022-08-16 11:19:12,荣昌区城市管理局已督促施工单位对损坏的塑胶地面进行修复，现已修复完毕。
江北区望江公交车站休息凳损坏,【网上12345】尊敬的领导：您好！重庆市江北区817公交车起点站望江公交站的休息板凳有一部分是不完整的，希望相关部门能够尽快修复，谢谢！,2022-08-12 12:25:17,郭家沱街道办事处已安排工人对休息凳进行修复。
石柱县万安街道三环路附近垃圾站异味扰民,【网上12345】万安街道三环路金御江山与恒宇天街之间的垃圾处理站酸臭味非常大，小区里面都闻得到，严重影响生活，请问是否符合城区垃圾中转站的各项规定，政府相关部门管理是否到位？各种垃圾车凌晨在金御江山门口红绿灯至垃圾站之间逆行，严重影响交通安全。,2022-08-02 15:40:19,石柱县城市管理局要求垃圾站工作人员每天定时对垃圾站设施设备、场地环境以及转运过来的垃圾进行喷雾消毒除臭，现垃圾站周边已无异味。
铜梁区蒲吕街道一主干道存在渣土车长期乱停乱放现象,【网上12345】高新区平场工地几十辆渣车在7号干道上乱停乱放，存在严重道路安全隐患,2022-07-28 15:08:52,  蒲吕街道办事处已对该路段乱停乱放车辆进行整顿，并加强巡逻，确保道路畅通。
北碚区施家梁镇一公路两边杂草丛生影响驾驶,【网上12345】大岚垭到板栗湾的路两边长满了杂草，开车路都过不了，影响行驶安全，政府部门来清理下赛,2022-07-20 10:42:27,施家梁镇政府已安排工作人员对该道路两边的杂草进行清理，并加大对辖区乡村道路的巡查管护。
铜梁区东城街道一消防栓漏水,【网上12345】我发现龙福五路42号门前消防栓已经漏水两天了，太浪费资源了，希望可以尽快安排人来维修。,2022-07-18 08:17:06,东城街道办事处立即联系水务公司处理，已对损坏的消防栓进行修复。
沙坪坝区石井坡街道前进坡菜市场附近一路灯故障,【网上12345】前进坡菜市场环山公路段的路灯这段时间长期出问题，修了又坏，居民区老人居多，这里还有分岔路口，车流量较大，出行极其不安全，能否更换更好的路灯设备！,2022-07-15 16:34:05,石井坡街道办事处派人现场核实，系因近期高温天气致该路灯控制器故障，已派人对损坏零件进行更换，现已恢复正常照明。
北碚区三圣镇一灌溉渠被堵塞,【网上12345】村民彭代秀反映，前几天暴雨，板桥二组大堰塘外堰沟被雨水冲下来的泥土堵塞了，现在正值抗旱节点，田地里的庄稼急需灌溉，希望尽快疏通堰沟。,2022-07-06 16:30:29,"三圣镇政府已及时安排工人疏通堵塞的灌溉渠，现已恢复正常灌溉。
"
九龙坡区白马花园小区车库积水,【网上12345】白马花园小区人行道下水管道堵塞很久，一直未解决，昨晚大雨，车库又积水很多，半夜物管通知大家挪车，根本就来不及开出来，很多人进去了也容易被困住，现在正是夏季，暴雨时间很多，老小区很多是老年人车库积水都到膝盖位置了，危险系数很大，请领导引起重视，尽快解决，感谢,2022-06-28 09:44:51,已会同区城管局、住建委等单位赴现场处置，将车库积水抽排干净并清除淤泥，疏通下水管道，现已恢复正常。
